venue,borough,address,capacity,genre,booking_contact,booking_email,website,booking_form,notes,type
"Silvana","Harlem","300 W. 116th Street","100","Blues/Jazz/World","silvanabooking@gmail.com","silvanabooking@gmail.com","silvana-nyc.com","No","Sister to Shrine. Live music nightly. Middle Eastern food. Already have residency here.","CONFIRMED"
"Shrine World Music Venue","Harlem","704 Frederick Douglass Blvd","80","World/Blues/Jazz","shrinenyc.com","info@shrinenyc.com","shrinenyc.com","No","Sister to Silvana. Founded 2007. No cover. Independent acts only. 7 nights/week.","CONFIRMED"
"Bill's Place","Harlem","148 W. 133rd Street","50","Blues/Jazz","billsplacenyc@gmail.com","billsplacenyc@gmail.com","billsplacenyc.com","No","Harlem blues venue. Intimate. Check for booking via email or website.","NEW"
"Terra Blues","Greenwich Village","42 Carmine Street","74","Blues","booking@terrablues.com","booking@terrablues.com","terrablues.com","No","Last dedicated blues room in NYC. 30+ years. Acoustic 7pm, electric 10pm. $10 cover, 2-drink min.","NEW"
"Smalls Jazz Club","Greenwich Village","183 W. 10th Street","60","Jazz/Blues","smallslive.com","info@smallslive.com","smallslive.com","No","Legendary West Village basement jazz club. Nightly sets + after-hours jams. $20-25 cover.","NEW"
"Mezzrow","Greenwich Village","163 W. 10th Street","40","Jazz/Blues","smallslive.com","info@smallslive.com","smallslive.com/mezzrow","No","Sister to Smalls. Piano-focused jazz. Very intimate. 40 capacity.","NEW"
"Minton's Playhouse","Harlem","206 W. 118th Street","120","Jazz/Blues","info@mintonsplayhouse.com","info@mintonsplayhouse.com","mintonsplayhouse.com","No","Where bebop was born. Southern cooking + live jazz. Cover charge. Reservations.","NEW"
"Ginny's Supper Club","Harlem","468 Lenox Avenue","70","Jazz/Blues/Soul","info@ginnyssupperclub.com","info@ginnyssupperclub.com","ginnyssupperclub.com","No","Harlem supper club. Live music. Dinner + drinks. Upscale.","NEW"
"Cotton Club","Harlem","656 W. 125th Street","100","Jazz/Blues/Soul","info@cottonclub-harlem.com","info@cottonclub-harlem.com","cottonclub-harlem.com","No","Historic Harlem venue. Live music nightly. Dinner shows. Tourist + local draw.","NEW"
"Smoke Jazz & Supper Club","Upper West Side","2751 Broadway","80","Jazz/Blues","info@smokejazz.com","info@smokejazz.com","smokejazz.com","No","UWS jazz/blues club. Dinner + music. Quality booking. Cover charge.","NEW"
"Harlem Nights Bar","Harlem","114 W. 116th Street","60","Live Music","info@harlemnightsbar.com","info@harlemnightsbar.com","harlemnightsbar.com","No","Harlem bar with live music. Casual vibe.","NEW"
"449 LA","Harlem","449 Lenox Avenue","50","Live Music","info@449la.com","info@449la.com","449la.com","No","Harlem live music venue. Intimate.","NEW"
"Jalopy Theatre","Red Hook Brooklyn","315 Columbia Street","80","Folk/Blues/Roots","booking@jalopy.biz","booking@jalopy.biz","jalopy.biz","No","Red Hook theater + music school. Roots, bluegrass, blues, folk. Tavern next door.","NEW"
"Barbès","Park Slope Brooklyn","324 9th Street","50","World/Jazz/Blues","info@barbesbrooklyn.com","info@barbesbrooklyn.com","barbesbrooklyn.com","No","Park Slope back room. 7 nights/week. Balkan, Afrobeat, jazz, blues. Bucket passed for band.","NEW"
"Baby's All Right","Williamsburg Brooklyn","146 Broadway","280","Indie/Blues-Rock","booking@babyisallright.com","booking@babyisallright.com","babyisallright.com","Yes","Williamsburg venue. Indie + alternative. Full bar + kitchen. Modern setup.","NEW"
"Our Wicked Lady","Bushwick Brooklyn","232 Bushwick Avenue","150","Rock/Blues/Punk","booking@ourwickedlady.com","booking@ourwickedlady.com","ourwickedlady.com","Yes","Bushwick DIY venue. Rooftop stage. Rock, punk, experimental.","NEW"
"The Jazz Gallery","Flatiron Manhattan","1160 Broadway","100","Jazz/Blues","info@jazzgallery.org","info@jazzgallery.org","jazzgallery.org","No","Nonprofit. Emerging jazz talent. Flatiron District. Minimalist, music-focused.","NEW"
"New Amsterdam Musical Association","Harlem","107 W. 130th Street","80","Jazz/Blues/Classical","info@nama-harlem.org","info@nama-harlem.org","nama-harlem.org","No","Harlem musical association. Historic. Live performances.","NEW"
"American Legion Post 398","Harlem","248 W. 132nd Street","60","Live Music","N/A","N/A","N/A","No","Harlem American Legion post. Hosts live music events. Community venue.","NEW"
"Lenox Saphire","Harlem","188 Lenox Avenue","50","Jazz/Blues","info@lenoxsaphire.com","info@lenoxsaphire.com","lenoxsaphire.com","No","Harlem bar with live music. Intimate.","NEW"
"The Edge Harlem","Harlem","1108 5th Avenue","80","Live Music","info@theedgeharlem.com","info@theedgeharlem.com","theedgeharlem.com","No","Harlem live music venue. Community vibe.","NEW"
